Burn/Red Prowess -- 0.74% of field, won 41.82% of matches
+---------------------------------+--------+---------+----------+----------+
|      Burn/Red Prowess vs.       | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|                                 | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 2-4-0  |  33.33% |  4-5-0   |   44.44% |
| Mystic Forge Combo              | 2-1-0  |  66.67% |  3-3-0   |   50.00% |
| Dimir Tempo                     | 1-3-0  |  25.00% |  1-4-0   |   20.00% |
| Cephalid Breakfast              | 2-6-0  |  25.00% |  3-6-0   |   33.33% |
| Izzet Tempo                     | 2-0-0  | 100.00% |  4-1-0   |   80.00% |
| Red Stompy                      | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Nadu Midrange Combo             | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Lands                           | 0-2-0  |   0.00% |  0-2-0   |    0.00% |
| Red Painter                     | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Eldrazi                         | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Sneak and Show                  | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Stiflenought                    | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Beanstalk Control (Non-Yorion)  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Blue Cloudpost                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Control                  | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Doomsday                        | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Omni-Tell                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Cradle Control                  | 2-0-0  | 100.00% |  2-0-0   |  100.00% |
| Oops All Spells                 | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Grixis Control                  | 1-0-0  | 100.00% |  1-1-0   |   50.00% |
| Other Control                   | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| The EPIC Storm                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Aggro                     | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| ANT                             | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Unknown Deck                    | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Mardu Energy                    | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Nadu Cradle Combo               | 0-0-0  |     --- |  0-0-0   |      --- |
| Death and Taxes - BW (Yorion)   | 0-0-0  |     --- |  0-0-0   |      --- |
| Saga Storm                      | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Black Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Blue Painter                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Grixis Tempo                    | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Loam Pox                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Green Cloudpost            | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Permanent Combo           | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Rakdos Reanimator               | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Cast                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Black Midrange                  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Elves                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Control                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Infect                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Stoneblade                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Goblins (Vial)                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Black Reanimator           | 0-0-0  |     --- |  0-0-0   |      --- |
| Worldgorger                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Beanstalk Control (Yorion)      | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Boros Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Food Chain                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Golgari Depths                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam                            | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Maverick                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Stompy                     | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Selesnya Depths                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Standstill                      | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| 4C Uro Control (Non-Yorion)     | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Mulch                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Bomberman                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Creative Technique              | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Death and Taxes (60 Card)       | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Esper Vial                      | 0-0-0  |     --- |  0-0-0   |      --- |
| High Tide                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Merfolk                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Depths                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Ninjas                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Graveyard                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Ruby Storm                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Temur Cascade                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Tin Fins                        | 0-0-0  |     --- |  0-0-0   |      --- |
| White Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         | 0-0-0  |     --- |  0-0-0   |      --- |
| Abzan Depths                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Yorion)           | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Colorless Cloudpost             | 0-0-0  |     --- |  0-0-0   |      --- |
| Coveted Jewel Combo             | 0-0-0  |     --- |  0-0-0   |      --- |
| Death's Shadow                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Dredge                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Gruul Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Hogaak                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Natural Order                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Necrodominance Combo            | 0-0-0  |     --- |  0-0-0   |      --- |
| Nic Fit                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Other                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       | 0-0-0  |     --- |  0-0-0   |      --- |
| Paradoxical Outcome             | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Tempo                    | 0-0-0  |     --- |  0-1-0   |    0.00% |
| The EPIC Gamble                 | 0-0-0  |     --- |  0-0-0   |      --- |
+---------------------------------+--------+---------+----------+----------+
